CustomerID,Age,Gender,TenureMonths,Contract,InternetService,PaperlessBilling,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,Churn
CUST-70000,44,Male,11,Two year,DSL,Yes,35.91,407.11,1,8.5,No
CUST-70001,50,Male,5,One year,DSL,Yes,53.56,255.53,2,7.6,No
CUST-70002,33,Female,16,Month-to-month,Fiber optic,Yes,60.59,,1,7.8,Yes
CUST-70003,28,Female,24,Month-to-month,Fiber optic,Yes,61.82,1503.82,3,,Yes
CUST-70004,18,Male,22,Two year,DSL,Yes,52.52,1159.25,1,9.0,No
CUST-70005,55,Male,58,One year,No service,Yes,32.01,1909.91,2,5.9,No
CUST-70006,41,Male,10,Month-to-month,Fiber optic,No,54.72,550.72,4,5.7,No
CUST-70007,44,Male,13,One year,DSL,No,42.14,569.56,1,8.7,No
CUST-70008,30,Male,15,Month-to-month,Fiber optic,Yes,66.02,942.5,2,7.1,Yes
CUST-70009,58,Male,5,Month-to-month,DSL,Yes,35.15,174.77,0,9.8,No
CUST-70010,54,Female,10,Two year,No service,Yes,27.66,292.67,1,9.9,No
CUST-70011,39,Male,7,Month-to-month,Fiber optic,Yes,64.98,452.24,2,8.8,Yes
CUST-70012,33,Female,14,Two year,DSL,Yes,51.5,694.79,2,9.5,No
CUST-70013,36,Female,9,Month-to-month,DSL,No,45.57,413.32,0,7.7,Yes
CUST-70014,30,Male,25,Two year,Fiber optic,Yes,49.04,1297.39,2,,No
CUST-70015,41,Female,12,One year,No service,No,18.0,213.62,4,6.8,No
CUST-70016,32,Female,7,Month-to-month,DSL,Yes,36.79,268.02,0,10.0,No
CUST-70017,49,Male,6,Month-to-month,DSL,No,41.27,247.92,0,7.8,No
CUST-70018,36,Male,44,One year,No service,Yes,30.73,1368.61,0,10.0,No
CUST-70019,36,Female,4,Two year,Fiber optic,Yes,81.69,317.26,4,6.8,No
CUST-70020,63,Female,20,Month-to-month,Fiber optic,No,51.2,1032.61,3,5.3,Yes
CUST-70021,31,Female,46,One year,No service,No,24.89,1191.39,2,,No
CUST-70022,19,Male,35,Month-to-month,No service,Yes,18.0,593.15,0,,No
CUST-70023,46,Female,12,Two year,DSL,Yes,39.07,451.86,1,8.8,No
CUST-70024,18,Female,27,Two year,DSL,Yes,49.23,1312.44,3,7.8,No
CUST-70025,45,Male,26,One year,DSL,Yes,49.91,1361.9,0,9.1,Yes
CUST-70026,55,Male,20,One year,Fiber optic,No,72.57,1534.7,2,7.6,No
