OrderID,OrderDate,Region,Category,CustomerSegment,Quantity,UnitPrice,Discount,Sales,Profit,ShippingDays,Returned
ORD-100154,2023-01-01,North,Electronics,Consumer,8,131.57,0.05,999.93,348.77,5.0,No
ORD-101570,2023-01-01,South,Furniture,Corporate,2,56.08,0.3,78.51,1.09,3.0,No
ORD-101802,2023-01-01,North,Electronics,Consumer,1,431.2,,409.64,137.1,6.0,No
ORD-100417,2023-01-02,West,Office Supplies,Consumer,6,53.14,0.05,302.9,77.53,,No
ORD-100779,2023-01-02,West,Clothing,Corporate,7,50.9,0.0,356.3,99.07,7.0,No
ORD-101243,2023-01-02,North,Office Supplies,Home Office,8,95.2,0.1,685.44,145.39,4.0,No
ORD-100306,2023-01-02,South,Electronics,Corporate,5,136.97,0.1,616.36,174.04,1.0,No
ORD-101451,2023-01-02,East,Clothing,Consumer,7,56.94,0.0,398.58,118.6,5.0,No
ORD-101274,2023-01-03,North,Electronics,Corporate,8,129.64,0.0,1037.12,339.6,4.0,No
ORD-101157,2023-01-03,North,Electronics,Home Office,4,171.99,0.2,550.37,99.51,3.0,Yes
ORD-100935,2023-01-03,North,Electronics,Corporate,7,80.74,0.2,452.14,93.3,4.0,No
ORD-101089,2023-01-03,East,Electronics,Consumer,7,433.2,0.0,3032.4,1125.54,4.0,No
ORD-101264,2023-01-04,East,Office Supplies,Corporate,4,54.9,0.1,197.64,57.65,2.0,Yes
ORD-102439,2023-01-04,West,Electronics,Consumer,7,75.14,0.0,525.98,178.26,6.0,No
ORD-102734,2023-01-04,South,Electronics,Corporate,3,287.68,0.2,690.43,75.85,3.0,No
ORD-102710,2023-01-05,Central,Office Supplies,Corporate,1,28.86,0.2,23.09,1.69,7.0,Yes
ORD-100978,2023-01-05,East,Office Supplies,Corporate,5,43.35,0.0,216.75,48.92,6.0,No
ORD-101896,2023-01-05,East,Electronics,Corporate,4,84.87,0.0,339.48,103.42,5.0,No
ORD-101467,2023-01-05,North,Office Supplies,Consumer,6,91.89,0.15,468.64,73.8,2.0,No
ORD-101150,2023-01-05,North,Electronics,Corporate,6,290.44,0.1,1568.38,377.38,6.0,No
ORD-102966,2023-01-06,South,Office Supplies,Consumer,7,36.74,0.0,257.18,86.18,3.0,No
ORD-100016,2023-01-06,East,Clothing,Consumer,5,43.31,0.2,173.24,16.35,6.0,No
ORD-101798,2023-01-06,East,Clothing,Consumer,6,53.51,0.0,321.06,106.58,6.0,No
ORD-102781,2023-01-06,North,Clothing,Consumer,4,88.67,0.1,319.21,35.99,6.0,No
ORD-100578,2023-01-07,West,Office Supplies,Home Office,2,25.58,0.0,51.16,17.85,4.0,No
ORD-102824,2023-01-07,Central,Furniture,Home Office,8,258.82,0.1,1863.5,498.72,5.0,Yes
ORD-102706,2023-01-07,Central,Clothing,Consumer,4,46.51,0.0,186.04,55.79,9.0,No
ORD-100847,2023-01-07,West,Office Supplies,Consumer,6,27.34,0.0,164.04,55.05,,No
ORD-102129,2023-01-07,North,Clothing,Consumer,8,114.72,0.05,871.87,240.81,4.0,Yes
ORD-101969,2023-01-07,East,Office Supplies,Consumer,2,37.89,0.1,68.2,18.36,2.0,No
ORD-100561,2023-01-08,North,Office Supplies,Consumer,5,48.76,0.15,207.23,32.74,4.0,No
ORD-102825,2023-01-08,West,Electronics,Home Office,2,183.13,0.0,366.26,117.07,3.0,No
ORD-102804,2023-01-08,North,Office Supplies,Corporate,8,61.49,0.2,393.54,94.86,9.0,Yes
ORD-100323,2023-01-08,East,Clothing,Consumer,2,54.14,0.0,108.28,34.06,4.0,No
ORD-102474,2023-01-08,South,Office Supplies,Consumer,5,29.2,0.15,124.1,30.08,3.0,No
ORD-102432,2023-01-09,East,Office Supplies,Home Office,2,21.96,0.0,43.92,17.24,5.0,No
ORD-101048,2023-01-09,Central,Furniture,Consumer,7,202.18,0.0,1415.26,417.46,7.0,No
